timestamp,open,high,low,close,volume
2025-01-07 19:55:00,224.2200,224.4900,224.2200,224.4900,51
2025-01-07 19:50:00,224.4500,224.4873,224.4400,224.4500,79
2025-01-07 19:45:00,224.2000,224.2000,224.2000,224.2000,25
2025-01-07 19:40:00,224.2000,224.2000,224.2000,224.2000,5
2025-01-07 19:25:00,224.0100,224.4900,224.0100,224.4000,29
2025-01-07 19:15:00,223.8000,223.8000,223.8000,223.8000,5
2025-01-07 19:10:00,224.4900,224.4900,224.4500,224.4500,7
2025-01-07 19:00:00,223.9600,224.0300,223.9600,224.0300,924360
2025-01-07 18:55:00,224.4700,224.4700,224.4700,224.4700,1
2025-01-07 18:50:00,224.0100,224.0100,224.0100,224.0100,3
2025-01-07 18:45:00,224.4200,224.4500,224.0100,224.0100,101
2025-01-07 18:40:00,224.4500,224.4500,224.4500,224.4500,11
2025-01-07 18:30:00,223.9600,223.9600,223.9600,223.9600,924350
2025-01-07 18:25:00,224.0300,224.0300,224.0200,224.0200,50
2025-01-07 18:20:00,224.0100,224.0100,224.0100,224.0100,39
2025-01-07 18:15:00,224.4500,224.4500,224.4500,224.4500,1
2025-01-07 18:10:00,223.9600,224.0800,223.9600,224.0100,50
2025-01-07 18:05:00,224.0800,224.0800,224.0800,224.0800,39
2025-01-07 18:00:00,223.0800,223.0800,223.0800,223.0800,1
2025-01-07 17:55:00,224.0000,224.1300,223.0800,224.1300,53
2025-01-07 17:50:00,224.4200,224.4200,224.1300,224.1300,3
2025-01-07 17:45:00,223.0800,224.4700,223.0800,224.4700,5
2025-01-07 17:40:00,224.4200,224.4200,223.0800,223.0800,16
2025-01-07 17:35:00,224.4200,224.4200,224.4200,224.4200,51
2025-01-07 17:30:00,224.4700,224.4700,224.4200,224.4200,6
2025-01-07 17:25:00,224.1100,224.1100,224.1100,224.1100,10
2025-01-07 17:20:00,224.4200,224.4700,223.0800,224.4700,13
2025-01-07 17:10:00,224.4600,224.4600,224.4200,224.4200,52
2025-01-07 17:05:00,224.4700,224.4700,224.4400,224.4600,56
2025-01-07 17:00:00,224.4700,224.4700,223.9800,224.4500,4
2025-01-07 16:55:00,223.9900,223.9900,223.9600,223.9600,253
2025-01-07 16:50:00,223.9800,224.0400,223.9600,223.9600,62
2025-01-07 16:45:00,223.9600,223.9600,223.9600,223.9600,100
2025-01-07 16:40:00,224.4900,224.4900,224.4900,224.4900,3
2025-01-07 16:35:00,224.4900,224.4900,223.0800,223.0800,4
2025-01-07 16:30:00,223.0800,224.4900,223.0800,224.4900,629
2025-01-07 16:25:00,223.0800,224.4800,223.0800,224.4800,112
2025-01-07 16:20:00,223.9600,225.8000,223.9600,224.5000,10376
2025-01-07 16:15:00,223.9600,225.8000,223.9600,225.8000,19
2025-01-07 16:10:00,223.9600,225.0000,223.9600,224.3800,924618
2025-01-07 16:05:00,223.9600,224.4000,222.0000,224.4000,3482
2025-01-07 16:00:00,224.0000,225.6935,222.0000,223.9600,1971237
2025-01-07 15:55:00,223.7850,224.1700,223.7819,224.0000,200423
2025-01-07 15:50:00,223.3300,223.8100,223.2000,223.8100,67244
2025-01-07 15:45:00,223.2900,223.4400,223.1300,223.3000,30545
2025-01-07 15:40:00,223.3900,223.7100,223.3100,223.3700,34805
2025-01-07 15:35:00,223.0200,223.3846,222.8600,223.3846,32653
2025-01-07 15:30:00,222.9800,223.1800,222.9400,223.0600,25187
2025-01-07 15:25:00,222.8800,223.0600,222.8800,223.0200,20175
2025-01-07 15:20:00,223.0600,223.0785,222.8300,222.9100,21313
2025-01-07 15:15:00,223.2500,223.5300,223.0180,223.0800,39957
2025-01-07 15:10:00,223.0800,223.2331,222.9200,223.2331,28145
2025-01-07 15:05:00,223.7677,223.7900,223.0900,223.0900,29135
2025-01-07 15:00:00,224.0109,224.1100,223.5619,223.7250,24027
2025-01-07 14:55:00,224.1100,224.1100,223.8901,224.0299,14139
2025-01-07 14:50:00,223.9200,224.1100,223.7929,224.0321,21035
2025-01-07 14:45:00,224.1200,224.1700,223.7600,223.7900,22749
2025-01-07 14:40:00,223.6350,224.1699,223.5800,224.1699,17239
2025-01-07 14:35:00,223.9700,224.0099,223.6750,223.6759,17635
2025-01-07 14:30:00,224.1500,224.2700,223.8900,223.8900,13167
2025-01-07 14:25:00,224.2100,224.3400,224.1100,224.1500,14386
2025-01-07 14:20:00,224.2550,224.2800,224.0401,224.1100,14069
2025-01-07 14:15:00,224.4500,224.4500,224.1605,224.2900,11886
2025-01-07 14:10:00,224.5200,224.7100,224.3850,224.3850,16683
2025-01-07 14:05:00,224.4800,224.6199,224.3561,224.5200,11571
2025-01-07 14:00:00,224.5800,224.6800,224.4800,224.5700,11645
2025-01-07 13:55:00,225.0750,225.1200,224.6599,224.7100,29188
2025-01-07 13:50:00,224.9550,225.1500,224.9500,225.0750,25975
2025-01-07 13:45:00,224.7396,225.0000,224.7300,225.0000,25343
2025-01-07 13:40:00,224.9000,224.9300,224.7500,224.7700,28298
2025-01-07 13:35:00,225.2000,225.3499,224.7500,224.8550,20661
2025-01-07 13:30:00,225.0100,225.3900,224.9700,225.2600,22121
2025-01-07 13:25:00,224.9901,225.1800,224.9309,225.0700,14229
2025-01-07 13:20:00,224.9600,225.1000,224.8700,225.1000,15787
2025-01-07 13:15:00,225.0250,225.1400,224.8900,224.9700,15006
2025-01-07 13:10:00,225.1800,225.2599,224.9300,225.0250,12761
2025-01-07 13:05:00,224.8950,225.1900,224.8700,225.1800,10653
2025-01-07 13:00:00,224.6244,224.9700,224.6244,224.9100,23492
2025-01-07 12:55:00,224.5950,224.7300,224.4901,224.7117,11588
2025-01-07 12:50:00,224.7150,224.8100,224.4600,224.5900,12173
2025-01-07 12:45:00,224.9800,224.9850,224.6600,224.7150,14061
2025-01-07 12:40:00,225.1600,225.1600,224.9700,225.0100,16097
2025-01-07 12:35:00,225.4700,225.5365,225.1000,225.1000,13670
2025-01-07 12:30:00,225.3300,225.5400,225.2600,225.5400,11532
2025-01-07 12:25:00,225.5700,225.5700,225.1923,225.3300,16585
2025-01-07 12:20:00,225.7600,225.7600,225.3400,225.5700,13583
2025-01-07 12:15:00,225.6950,225.8200,225.5600,225.8132,12620
2025-01-07 12:10:00,225.6900,225.7100,225.4000,225.7100,25340
2025-01-07 12:05:00,225.8900,225.9600,225.4112,225.6700,22101
2025-01-07 12:00:00,225.7600,225.9200,225.6600,225.8400,15900
2025-01-07 11:55:00,226.0000,226.1600,225.5500,225.6800,45786
2025-01-07 11:50:00,226.5400,226.5400,225.8425,225.9650,22650
2025-01-07 11:45:00,226.5007,226.6200,226.3200,226.5800,23160
2025-01-07 11:40:00,226.6499,226.6900,226.2351,226.4800,19927
2025-01-07 11:35:00,226.0300,226.5700,225.8700,226.5700,25376
2025-01-07 11:30:00,226.1800,226.4800,225.8600,226.2100,30189
2025-01-07 11:25:00,225.6450,226.2900,225.5700,226.0600,30066
2025-01-07 11:20:00,225.7500,225.8900,225.4800,225.6200,19160
2025-01-07 11:15:00,225.7850,225.8800,225.3500,225.7200,24813
2025-01-07 11:10:00,226.0100,226.0300,225.5000,225.7500,36143
