,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Symbol,sma,last_close,sma_direction,gain,perte,ema_gain,ema_perte,rs,rsi_14,rsi_direction,range,atr_14
0,0,2023-01-03,130.27999877929688,130.89999389648438,124.16999816894533,125.06999969482422,124.21630859375,112117500,AAPL,130.4549987792969,125.06999969482422,sell,0.0,5.209999084472656,0.0,5.209999084472656,0.0,0.0,buy,6.729995727539048,
1,1,2023-01-04,126.88999938964844,128.66000366210938,125.08000183105467,126.36000061035156,125.49749755859376,89113600,AAPL,131.46899948120117,126.36000061035156,sell,0.0,0.529998779296875,0.0,2.752998924255371,0.0,0.0,buy,3.5800018310547017,
2,2,2023-01-05,127.12999725341795,127.7699966430664,124.76000213623048,125.0199966430664,124.1666488647461,80962700,AAPL,132.3599998474121,125.0199966430664,sell,0.0,2.1100006103515483,0.0,2.516893798167456,0.0,0.0,buy,3.0099945068359233,
3,3,2023-01-06,126.01000213623048,130.2899932861328,124.88999938964844,129.6199951171875,128.7352294921875,87754700,AAPL,133.6449996948242,129.6199951171875,sell,3.609992980957017,0.0,1.0421491582494682,1.7903054732039643,0.582106893961743,36.79314565807201,none,5.399993896484375,
4,4,2023-01-09,130.47000122070312,133.41000366210938,129.88999938964844,130.14999389648438,129.2615966796875,70790800,AAPL,134.79400024414062,130.14999389648438,sell,0.0,0.32000732421875,0.7900621453657594,1.4346528629301045,0.5506991731450305,35.51295974628897,none,3.5200042724609375,
5,5,2023-01-10,130.25999450683594,131.25999450683594,128.1199951171875,130.72999572753906,129.837646484375,63896200,AAPL,136.03200073242186,130.72999572753906,sell,0.470001220703125,0.0,0.7225439098137282,1.1320066400685882,0.6382859289323155,38.96059397569823,none,3.1399993896484375,
6,6,2023-01-11,131.25,133.50999450683594,130.4600067138672,133.49000549316406,132.57882690429688,69458900,AAPL,137.14500122070314,133.49000549316406,sell,2.2400054931640625,0.0,1.0094583353040012,0.9179722036452513,1.0996611131529475,52.373266631663526,none,3.04998779296875,
7,7,2023-01-12,133.8800048828125,134.25999450683594,131.44000244140625,133.41000366210938,132.49937438964844,71379600,AAPL,138.19200134277344,133.41000366210938,sell,0.0,0.470001220703125,0.8349683897305441,0.8405381682835842,0.9933735566530978,49.83378821985509,none,2.8199920654296875,
8,8,2023-01-13,132.02999877929688,134.9199981689453,131.66000366210938,134.75999450683594,133.84014892578125,57809700,AAPL,139.44400024414062,134.75999450683594,sell,2.7299957275390625,0.0,1.1389400409469426,0.7057117360596366,1.613888479885923,61.742820793806686,none,3.2599945068359375,
9,9,2023-01-17,134.8300018310547,137.2899932861328,134.1300048828125,135.94000244140625,135.01210021972656,63646600,AAPL,140.26800079345702,135.94000244140625,sell,1.1100006103515625,0.0,1.1345820134546454,0.5994376634842199,1.8927439541584845,65.4307461757048,none,3.1599884033203125,
10,10,2023-01-18,136.82000732421875,138.61000061035156,135.02999877929688,135.2100067138672,134.28709411621094,69672800,AAPL,141.10299987792968,135.2100067138672,sell,0.0,1.6100006103515625,0.972685300773903,0.7436377452012095,1.3080095880699534,56.67262366807416,none,3.5800018310546875,
