Ticker,Open,High,Low,Close,Adj Close,Volume
AAPL,77.79273841494606,78.58154696509952,77.20785740443638,77.97904786609467,75.59931982131232,139731923.80952382
MSFT,163.97333272298178,164.98095339820497,162.69285583496094,163.99904596237909,156.86270795549666,26596666.666666668
GOOGL,71.66138058617001,72.22490474155971,71.17580922444661,71.80797649565197,71.63060869489398,32075904.76190476
AMZN,94.30276162283761,94.89985802060082,93.51771436418805,94.21188027518136,94.21188027518136,80665047.61904761
TSLA,34.86968267531622,35.761904126121884,34.312666756766184,35.243936357044035,35.243936357044035,290870357.14285713
META,216.25238182431175,218.11952354794457,214.41714332217262,216.64333307175409,215.99300420851935,16538790.476190476
NVDA,6.118202345711844,6.181154773348854,6.043416636330741,6.120321410042899,6.095190388815744,291686285.71428573
JPM,136.22238159179688,137.3961900983538,135.2866675967262,136.39571271623885,118.76248096284412,11809090.476190476
V,198.1461908249628,200.08714367094495,197.04285830543154,198.93619137718565,192.03225998651413,8763323.80952381
UNH,291.5219072614397,293.9923822312128,287.9966663178943,291.3342851911272,271.73022824242,4017819.0476190476
PG,124.59571511404855,125.4942859468006,124.05238087972005,124.71190461658296,110.45116279238746,7338980.952380952
HD,226.42809549967447,228.5942855108352,225.25809442429315,227.1999998546782,201.4102034795852,4631685.714285715
DIS,143.0057140531994,143.9338080996559,141.78761727469308,142.8595217750186,141.74151829310827,9403042.857142856
MA,314.0566653297061,316.7580973307292,311.72047351655505,314.5876203264509,306.2464032854353,3876490.476190476
VZ,59.82571429298038,60.18714269002279,59.52142842610677,59.832856859479634,45.76967003231957,13317000.0
PFE,37.331255776541575,37.63260160173689,37.00777108328683,37.30279214041574,30.14150655837286,25325522.095238097
KO,56.32714280628023,56.715714227585565,56.08285740443638,56.4504759652274,48.34552074614025,13659842.857142856
MRK,85.16130538213821,85.72746276855469,84.46610296340216,84.99000331333706,73.50939650762649,9763078.142857144
PEP,138.9104759579613,139.8980959937686,138.19000026157923,139.19285656156995,121.5819585890997,4280514.285714285
INTC,61.747619083949495,62.48714301699684,61.24476223900204,61.85857137044271,54.564942859468005,25435719.04761905
NFLX,338.03999982561385,343.25571695963544,333.3933323451451,338.8328566778274,338.8328566778274,8089238.095238095
ADBE,343.9961940220424,346.9723830450149,341.6685703822545,344.9547627766927,344.9547627766927,2107095.238095238
CSCO,47.96761939639137,48.285714649018786,47.554761614118306,47.92238108317057,41.30924806140718,18059957.14285714
CMCSA,45.30476179577055,45.694761730375745,44.914762042817614,45.33380889892578,40.180326007661364,22018123.80952381
NKE,101.73714156377883,102.53095245361328,100.96904718308221,101.73952411469959,96.54340435209728,5817057.142857143
T,29.01381102062407,29.2188173021589,28.826068151564826,29.028197333926247,20.114024571010045,46807504.333333336
WMT,38.70904740833101,38.95841271536691,38.485396975562686,38.736983889625186,36.01823625110445,18272500.0
BAC,34.32047598702567,34.56238101777576,34.07523781912668,34.32952372233073,30.484295073009672,47385419.047619045
XOM,68.0542847769601,68.38047590709868,67.43619101388114,67.82190504528228,53.2159674508231,17101614.285714287
ABT,87.75238037109375,88.48952375139508,87.18142845517113,87.8980952671596,80.77347782679966,5697952.380952381
ORCL,54.12190482729957,54.573809850783576,53.76809510730562,54.17857179187593,50.33595239548456,9582457.142857144
CVX,115.47809455508278,116.01142883300781,114.49857076009114,115.09000033424014,92.14901733398438,7351814.285714285
LLY,137.56571524483817,139.02809724353608,136.67571294875373,138.12571425664993,129.46007138206846,3649342.8571428573
IBM,131.57151976085845,132.63543846493675,130.79031263078963,131.79322596958704,104.44321877615792,5640913.666666667
MCD,207.93619065057663,209.91190519787017,206.96571568080358,208.827144077846,187.1185600644066,3688971.4285714286
AVGO,31.239000047956193,31.505285808018275,30.823618934268044,31.12095242454892,27.0880062466576,27902047.61904762
HON,178.76856994628906,179.97857230050224,177.36428542364212,178.67333185105096,161.1139133998326,2595885.714285714
RTX,96.02415393647694,96.8851332891555,95.40591539655414,96.25550660632905,84.99031720842633,5750522.952380952
BA,326.1133335658482,329.88428751627606,321.8609531947545,325.8671409970238,323.9397960844494,8645990.476190476
COST,302.16094970703125,304.27856881277904,300.55714343843005,302.8233351934524,278.3038359142485,2070514.2857142857
